Country/Region,Province/State,date,confirmed,recovered,deaths
Afghanistan,,1/22/20,0,0.0,0
Albania,,1/22/20,0,0.0,0
Algeria,,1/22/20,0,0.0,0
Andorra,,1/22/20,0,0.0,0
Angola,,1/22/20,0,0.0,0
Antigua and Barbuda,,1/22/20,0,0.0,0
Argentina,,1/22/20,0,0.0,0
Armenia,,1/22/20,0,0.0,0
Australia,Australian Capital Territory,1/22/20,0,0.0,0
Australia,New South Wales,1/22/20,0,0.0,0
Australia,Northern Territory,1/22/20,0,0.0,0
Australia,Queensland,1/22/20,0,0.0,0
Australia,South Australia,1/22/20,0,0.0,0
Australia,Tasmania,1/22/20,0,0.0,0
Australia,Victoria,1/22/20,0,0.0,0
Australia,Western Australia,1/22/20,0,0.0,0
Austria,,1/22/20,0,0.0,0
Azerbaijan,,1/22/20,0,0.0,0
Bahamas,,1/22/20,0,0.0,0
Bahrain,,1/22/20,0,0.0,0
Bangladesh,,1/22/20,0,0.0,0
Barbados,,1/22/20,0,0.0,0
Belarus,,1/22/20,0,0.0,0
Belgium,,1/22/20,0,0.0,0
Benin,,1/22/20,0,0.0,0
Bhutan,,1/22/20,0,0.0,0
Bolivia,,1/22/20,0,0.0,0
Bosnia and Herzegovina,,1/22/20,0,0.0,0
Brazil,,1/22/20,0,0.0,0
Brunei,,1/22/20,0,0.0,0
Bulgaria,,1/22/20,0,0.0,0
Burkina Faso,,1/22/20,0,0.0,0
Cabo Verde,,1/22/20,0,0.0,0
Cambodia,,1/22/20,0,0.0,0
Cameroon,,1/22/20,0,0.0,0
Canada,Alberta,1/22/20,0,0.0,0
Canada,British Columbia,1/22/20,0,0.0,0
Canada,Grand Princess,1/22/20,0,0.0,0
Canada,Manitoba,1/22/20,0,0.0,0
Canada,New Brunswick,1/22/20,0,0.0,0
Canada,Newfoundland and Labrador,1/22/20,0,0.0,0
Canada,Nova Scotia,1/22/20,0,0.0,0
Canada,Ontario,1/22/20,0,0.0,0
Canada,Prince Edward Island,1/22/20,0,0.0,0
Canada,Quebec,1/22/20,0,0.0,0
Canada,Saskatchewan,1/22/20,0,0.0,0
Central African Republic,,1/22/20,0,0.0,0
Chad,,1/22/20,0,0.0,0
Chile,,1/22/20,0,0.0,0
China,Anhui,1/22/20,1,0.0,0
China,Beijing,1/22/20,14,0.0,0
China,Chongqing,1/22/20,6,0.0,0
China,Fujian,1/22/20,1,0.0,0
China,Gansu,1/22/20,0,0.0,0
China,Guangdong,1/22/20,26,0.0,0
China,Guangxi,1/22/20,2,0.0,0
China,Guizhou,1/22/20,1,0.0,0
China,Hainan,1/22/20,4,0.0,0
China,Hebei,1/22/20,1,0.0,0
China,Heilongjiang,1/22/20,0,0.0,0
China,Henan,1/22/20,5,0.0,0
China,Hong Kong,1/22/20,0,0.0,0
China,Hubei,1/22/20,444,28.0,17
China,Hunan,1/22/20,4,0.0,0
China,Inner Mongolia,1/22/20,0,0.0,0
China,Jiangsu,1/22/20,1,0.0,0
China,Jiangxi,1/22/20,2,0.0,0
China,Jilin,1/22/20,0,0.0,0
China,Liaoning,1/22/20,2,0.0,0
China,Macau,1/22/20,1,0.0,0
China,Ningxia,1/22/20,1,0.0,0
China,Qinghai,1/22/20,0,0.0,0
China,Shaanxi,1/22/20,0,0.0,0
China,Shandong,1/22/20,2,0.0,0
China,Shanghai,1/22/20,9,0.0,0
China,Shanxi,1/22/20,1,0.0,0
China,Sichuan,1/22/20,5,0.0,0
China,Tianjin,1/22/20,4,0.0,0
China,Tibet,1/22/20,0,0.0,0
China,Xinjiang,1/22/20,0,0.0,0
China,Yunnan,1/22/20,1,0.0,0
China,Zhejiang,1/22/20,10,0.0,0
Colombia,,1/22/20,0,0.0,0
Congo (Brazzaville),,1/22/20,0,0.0,0
Congo (Kinshasa),,1/22/20,0,0.0,0
Costa Rica,,1/22/20,0,0.0,0
Cote d'Ivoire,,1/22/20,0,0.0,0
Croatia,,1/22/20,0,0.0,0
Diamond Princess,,1/22/20,0,0.0,0
Cuba,,1/22/20,0,0.0,0
Cyprus,,1/22/20,0,0.0,0
Czechia,,1/22/20,0,0.0,0
Denmark,Faroe Islands,1/22/20,0,0.0,0
Denmark,Greenland,1/22/20,0,0.0,0
Denmark,,1/22/20,0,0.0,0
Djibouti,,1/22/20,0,0.0,0
Dominican Republic,,1/22/20,0,0.0,0
Ecuador,,1/22/20,0,0.0,0
Egypt,,1/22/20,0,0.0,0
El Salvador,,1/22/20,0,0.0,0
Equatorial Guinea,,1/22/20,0,0.0,0
Eritrea,,1/22/20,0,0.0,0
Estonia,,1/22/20,0,0.0,0
Eswatini,,1/22/20,0,0.0,0
Ethiopia,,1/22/20,0,0.0,0
Fiji,,1/22/20,0,0.0,0
Finland,,1/22/20,0,0.0,0
France,French Guiana,1/22/20,0,0.0,0
France,French Polynesia,1/22/20,0,0.0,0
France,Guadeloupe,1/22/20,0,0.0,0
France,Guadeloupe,1/22/20,0,0.0,0
France,Mayotte,1/22/20,0,0.0,0
France,New Caledonia,1/22/20,0,0.0,0
France,Reunion,1/22/20,0,0.0,0
France,Saint Barthelemy,1/22/20,0,0.0,0
France,St Martin,1/22/20,0,0.0,0
France,Martinique,1/22/20,0,0.0,0
France,,1/22/20,0,0.0,0
Gabon,,1/22/20,0,0.0,0
Gambia,,1/22/20,0,0.0,0
Georgia,,1/22/20,0,0.0,0
Germany,,1/22/20,0,0.0,0
Ghana,,1/22/20,0,0.0,0
Greece,,1/22/20,0,0.0,0
Guatemala,,1/22/20,0,0.0,0
Guinea,,1/22/20,0,0.0,0
Guyana,,1/22/20,0,0.0,0
Haiti,,1/22/20,0,0.0,0
Holy See,,1/22/20,0,0.0,0
Honduras,,1/22/20,0,0.0,0
Hungary,,1/22/20,0,0.0,0
Iceland,,1/22/20,0,0.0,0
India,,1/22/20,0,0.0,0
Indonesia,,1/22/20,0,0.0,0
Iran,,1/22/20,0,0.0,0
Iraq,,1/22/20,0,0.0,0
Ireland,,1/22/20,0,0.0,0
Israel,,1/22/20,0,0.0,0
Italy,,1/22/20,0,0.0,0
Jamaica,,1/22/20,0,0.0,0
Japan,,1/22/20,2,0.0,0
Jordan,,1/22/20,0,0.0,0
